"Gene","waldStat","df","pvalue","FDR","meanLogFC"
"cdca5",177.800683220161,8,0,0,1.28501250258239
"rgs4",176.344386682474,8,0,0,6.33191632531656
"nrp2b",175.724737318311,8,0,0,0.478352024184428
"nop2",175.632827560518,8,0,0,0.576461153413287
"esco2",175.564055842632,8,0,0,1.49796683368344
"NAV1",175.284312220707,8,0,0,1.2677912021814
"hist1h4l.20",174.426866797971,8,0,0,1.41061697338019
"pitpnm3",174.059739716568,8,0,0,1.21055986112822
"abcc2",173.665474066171,8,0,0,3.65862295741532
"dnmt1",173.63247060715,8,0,0,0.698497757948657
"syne1b",173.608886757885,8,0,0,0.607116510479788
"hmmr",171.980543341181,8,0,0,1.70833163915822
"zgc:110425",171.905072229467,8,0,0,1.03017719686293
"si:ch211-69g19.2",171.878969535598,8,0,0,1.80083950996845
"adgra2",171.392169511746,8,0,0,0.497101574840729
"zgc:194398",170.851885348004,8,0,0,0.945368307882846
"cd81b",170.841332151054,8,0,0,3.3701659552888
"si:ch73-364h19.1",170.175719141898,8,0,0,0.958622030160275
"sinhcafl.1",169.585699923961,8,0,0,0.970275407873576
"wwtr1",169.401633104977,8,0,0,0.507570749283829
"meis2a.1",168.63486333861,8,0,0,0.636398306523812
"efnb2a",168.555242929834,8,0,0,2.40253035871315
"ctcf",168.085335671697,8,0,0,0.680588911123894
"smurf2",167.983631937188,8,0,0,1.14991553162744
"mcm2",167.969503907378,8,0,0,0.597578276779274
"ptprga",167.57289337052,8,0,0,0.420868255274223
"LO017938.1",167.482552192815,8,0,0,0.470658293539028
"nifk",167.386282018645,8,0,0,0.837143142210177
"pola1",167.202132120737,8,0,0,0.494540166425862
"snx22",167.007173099407,8,0,0,2.07604535303919
"si:dkey-108k21.21",166.895195270542,8,0,0,1.65297378002564
"ruvbl1",166.610549396167,8,0,0,0.724254923041763
"cenpe",165.734630047945,8,0,0,1.20761616523148
"meox1",165.48407529914,8,0,0,2.60530309622304
"si:ch211-161h7.4",165.414301458925,8,0,0,0.883819227956597
"aurkb",164.808367182194,8,0,0,1.06246957679624
"nusap1",163.663778931654,8,0,0,1.59614654201977
"MAGI3",163.510999556174,8,0,0,1.39441821059264
"cita",163.349398918179,8,0,0,1.64034068320911
"kifc1",163.337748700603,8,0,0,1.51728624138676
"si:ch211-113a14.24",163.050826099546,8,0,0,1.78805519218732
"arpp19b",162.686473306333,8,0,0,0.656777215187766
"samd11",162.195711129539,8,0,0,1.14062786661292
"kpnb3",162.155865798714,8,0,0,0.498655726669407
"si:dkey-220k22.1",161.887330026584,8,0,0,1.0103645051799
"zgc:153405",161.644352020065,8,0,0,1.7396116614138
"creb5b",160.995985166268,8,0,0,0.627722161349732
"efemp2b",160.778866060816,8,0,0,6.83976871833248
"igfbp2a",159.772994499367,8,0,0,2.92586537923765
"mid2",158.967029935259,8,0,0,0.346396946046697
"ccdc120",158.50105941062,8,0,0,3.45354778823396
"cnmd",158.297187217782,8,0,0,6.03796419421476
"fnbp1b",158.003102909526,8,0,0,0.997771410155568
"adam8a",157.759927768562,8,0,0,0.533902202811029
"MAN1C1",157.685243224416,8,0,0,0.611113481267307
"fhl1b",157.551717603401,8,0,0,1.96397424812269
"bub3",157.467196720346,8,0,0,0.878086795716477
"cacna1aa",157.346311421238,8,0,0,1.2283872148344
"mpp2b",157.343759133959,8,0,0,3.4532132054773
"agrn",156.626906460478,8,0,0,0.838978258099595
"mcm3",156.605615997521,8,0,0,0.65718072745377
"nuf2",156.560781397597,8,0,0,1.45950936118237
"kif11",155.542750901399,8,0,0,1.41976541135638
"ap1s3b",154.986382864243,8,0,0,1.63261251323534
"pcdh1b",154.647813564309,8,0,0,0.461810682786257
