"Gene","waldStat","df","pvalue","FDR","meanLogFC"
"rbms3",56.3359318753947,8,2.4262670761388e-09,1.11552509247761e-08,0.438465427211473
"cntln",56.0888269933544,8,2.71068845147937e-09,1.24272249924556e-08,0.872084919109829
"odc1",56.0525117451272,8,2.75519651538048e-09,1.25951840703107e-08,0.368605195435424
"zbtb16a",55.789844325024,8,3.09953207544567e-09,1.40925205848287e-08,0.806894767702017
"hist1h2a3.4",55.7892524276525,8,3.10035452866231e-09,1.40925205848287e-08,1.28989905017974
"pdgfd",55.7503737393209,8,3.1548527124059e-09,1.42996156936245e-08,1.24970895247239
"si:ch73-368j24.11",55.6893977045516,8,3.24225291059577e-09,1.46542504433707e-08,1.7652542037931
"baz1b",55.651963366171,8,3.29709948232448e-09,1.48601666808991e-08,0.470790612133639
"tnfsf10",55.6310829138923,8,3.32809246827992e-09,1.49577189585614e-08,1.60684535818048
"npr1b",55.5358796607463,8,3.47312001380828e-09,1.55658039834545e-08,1.05893810346814
"ube2s",55.1882937540583,8,4.05809352788111e-09,1.81367308508653e-08,0.711223601660253
"ipo7",55.1230384275903,8,4.17838363908629e-09,1.86223226254542e-08,0.487427767449469
"hspe1",55.0152171885586,8,4.38496439159053e-09,1.94887306292912e-08,0.890300200249228
"eya4",54.9259855449769,8,4.5635939471822e-09,2.02264551675665e-08,2.72012404677692
"nol4lb",54.8583651095975,8,4.70376870786993e-09,2.07901379353367e-08,1.40480123306047
