"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
2.14312480704858e-11,0.462896344767253,0.273,0.138,5.16750253475554e-07,"LEC","ssh2b"
2.30200447559889e-11,1.24583226796905,0.07,0.016,5.55059319156405e-07,"LEC","CR847984.1"
2.32236438219922e-11,0.222033664641817,0.446,0.25,5.59968499835876e-07,"LEC","homer3b"
2.32377506763992e-11,0.491747192597758,0.124,0.043,5.60308644309337e-07,"LEC","pus1"
2.34700097412733e-11,0.319428263538549,0.254,0.123,5.65908874881583e-07,"LEC","larp6a"
2.36008369351321e-11,0.906535157635038,0.078,0.019,5.69063380179906e-07,"LEC","si:dkey-258f14.3"
2.36496470032255e-11,0.309684743227669,0.884,0.742,5.70240288541774e-07,"LEC","calm3b"
2.38144931543301e-11,0.290162866288624,0.219,0.101,5.74215058937206e-07,"LEC","prkdc"
2.43176044263985e-11,0.228200904062672,0.353,0.187,5.86346077929319e-07,"LEC","polr2c"
2.4373640307322e-11,0.383237750965175,0.246,0.118,5.87697215090149e-07,"LEC","nol11"
2.46508227254917e-11,0.303703728557067,0.86,0.687,5.94380637557055e-07,"LEC","ppp2cb"
2.50485217995795e-11,0.79577891669009,0.165,0.068,6.03969957631461e-07,"LEC","zgc:194224"
2.51403315659309e-11,0.642445704622015,0.18,0.077,6.06183674717726e-07,"LEC","wdr83"
2.52802203381717e-11,0.20305388836128,0.492,0.286,6.09556672793996e-07,"LEC","si:ch211-198a12.6"
2.54624875168873e-11,0.45046659867986,0.326,0.174,6.13951499007186e-07,"LEC","psat1"
2.58134014735328e-11,0.236514118836149,0.254,0.121,6.22412736329824e-07,"LEC","park7"
2.62031685383599e-11,0.41409797740322,0.24,0.116,6.31810799796933e-07,"LEC","lin54"
2.62400590249884e-11,0.279573181177246,0.329,0.176,6.3270030321052e-07,"LEC","foxn2b"
2.65389430162187e-11,0.310034373050498,0.215,0.099,6.39906994007066e-07,"LEC","zc3h7a"
2.7179149184613e-11,0.263698679951341,0.45,0.262,6.55343645139389e-07,"LEC","aimp2"
2.73805803868151e-11,0.322366553963326,0.403,0.226,6.60200554286886e-07,"LEC","aurkaip1"
2.73968028254323e-11,0.437895484005382,0.227,0.107,6.60591709726823e-07,"LEC","smyd3"
