"cat","Term","Overlap","P.value","Adjusted.P.value","Old.P.value","Old.Adjusted.P.value","Z.score","Combined.Score","Genes","GOTerm","cluster","direction"
"GO_Biological_Process_2018","central nervous system development (GO:0007417)","1 of 266",0.26517514113028023,0.2770931250013043,0.28435657442406764,0.29713664518469995,-0.9049892896856652,1.201250892550645,"hapln3","GO:0007417","LEC","downregulated"
"GO_Biological_Process_2018","regulation of cell cycle (GO:0051726)","1 of 270",0.26859517312662873,0.27754834556418306,0.28798562895938207,0.297585149924695,-0.8810818594913084,1.1582261280353614,"sema3d","GO:0051726","LEC","downregulated"
"GO_Biological_Process_2018","heart development (GO:0007507)","1 of 312",0.3035983554992276,0.3068983376242192,0.3250853126759647,0.32861884868331215,-0.9436450886531794,1.1248717977896392,"sema3d","GO:0007507","LEC","downregulated"
"GO_Biological_Process_2018","regulation of transcription, DNA-templated (GO:0006355)","1 of 665",0.5407627998263387,0.5407627998263387,0.5736997416891321,0.5736997416891321,-0.8794913005724135,0.5406888631933927,"tshz2","GO:0006355","LEC","downregulated"
"GO_Biological_Process_AutoRIF","medial_fin_morphogenesis_(GO:0035141)","1 of 8",0.009164652529603337,0.22084322967874298,0.011320637076958798,0.24876094846411864,-6.115853363434277,28.69803834146489,"sema3d","GO:0035141","LEC","downregulated"
"GO_Biological_Process_AutoRIF","lamellipodium_organization_(GO:0097581)","1 of 7",0.008023480121268077,0.22084322967874298,0.010068238318496518,0.24876094846411864,-4.348305459105162,20.982239332016192,"sema3d","GO:0097581","LEC","downregulated"
"GO_Biological_Process_AutoRIF","medial_fin_development_(GO:0033338)","1 of 18",0.020507525283195962,0.22084322967874298,0.023770117728021244,0.24876094846411864,-5.105748659661235,19.845858032932284,"sema3d","GO:0033338","LEC","downregulated"
"GO_Biological_Process_AutoRIF","negative_regulation_of_axon_guidance_(GO:1902668)","1 of 13",0.01485170405482817,0.22084322967874298,0.01756228016474402,0.24876094846411864,-3.8231637935057297,16.09414578996336,"sema3d","GO:1902668","LEC","downregulated"
"GO_Biological_Process_AutoRIF","mitochondrial_respiratory_chain_complex_IV_biogenesis_(GO:0097034)","1 of 11",0.012580640278472248,0.22084322967874298,0.015069688163398572,0.24876094846411864,-3.3927947412847765,14.84549954821361,"cox7c","GO:0097034","LEC","downregulated"
"GO_Biological_Process_AutoRIF","phosphate_ion_homeostasis_(GO:0055062)","1 of 11",0.012580640278472248,0.22084322967874298,0.015069688163398572,0.24876094846411864,-3.295420668615816,14.419429932440927,"piezo1","GO:0055062","LEC","downregulated"
