"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","group"
"GANAB",0.000371312397197095,0.0599847190475629,0.084,0.05,1,"LEC__preLEC"
"stk11",0.000372806302361642,0.0904107706140638,0.102,0.063,1,"LEC__preLEC"
"foxp1a",0.000372881109379949,-0.0743925659166404,0.253,0.179,1,"LEC__preLEC"
"camsap1b",0.000375157606906011,0.510891629743266,0.047,0.023,1,"LEC__preLEC"
"adam12",0.00037540605162581,0.199589427081207,0.124,0.081,1,"LEC__preLEC"
"phlda2",0.000375501606502796,0.243723721782637,0.091,0.056,1,"LEC__preLEC"
"selenoj",0.000375792261101379,0.176580662183666,0.138,0.092,1,"LEC__preLEC"
"slc35e1",0.000376009741689883,0.166873568439829,0.099,0.061,1,"LEC__preLEC"
"yif1b",0.000376255874281048,0.0693754400735502,0.109,0.069,1,"LEC__preLEC"
"peak1",0.000377058812883703,0.221501686918539,0.086,0.052,1,"LEC__preLEC"
"mapk1",0.000377106003507894,0.00870116906587343,0.214,0.148,1,"LEC__preLEC"
"syne3",0.00037860592500446,0.13186804860055,0.134,0.088,1,"LEC__preLEC"
"sele",0.000378782353012367,0.19141596950023,0.789,0.687,1,"LEC__preLEC"
"gatd1",0.000379784035638445,0.0328261422389129,0.144,0.095,1,"LEC__preLEC"
"znf1035",0.000379797449870802,-0.0477939498874702,0.315,0.228,1,"LEC__preLEC"
"chmp7",0.000379917687347645,0.023081607089634,0.108,0.068,1,"LEC__preLEC"
"AL954322.2",0.000380209080878454,1.81005719181453,0.014,0.003,1,"LEC__preLEC"
"stk17al",0.00038155850547228,0.274103802514029,0.088,0.053,1,"LEC__preLEC"
"dctd",0.000382499597113648,0.163159113920825,0.073,0.042,1,"LEC__preLEC"
"zgc:100832",0.000382504517751893,0.220098070540726,0.044,0.021,1,"LEC__preLEC"
"ptbp1a",0.000382759812168128,0.0685126067545403,0.565,0.431,1,"LEC__preLEC"
"hddc3",0.000383926441162886,0.0178286156250858,0.144,0.095,1,"LEC__preLEC"
"ctc1",0.00038404046117146,0.88406052182374,0.028,0.01,1,"LEC__preLEC"
"cdc25b",0.000384142955543393,0.417281420779255,0.054,0.028,1,"LEC__preLEC"
"cep170b",0.000384557194473038,0.581483108800362,0.028,0.01,1,"LEC__preLEC"
"il10rb",0.000385365067525361,-0.0147741994728612,0.151,0.101,1,"LEC__preLEC"
"sra1",0.000385647907308036,0.0784789269021491,0.118,0.075,1,"LEC__preLEC"
"cyp3c1",0.000389833201847267,0.228210277848335,0.106,0.067,1,"LEC__preLEC"
"zfand1",0.000390792612807153,0.265517689133517,0.067,0.037,1,"LEC__preLEC"
"map1lc3b",0.000392737314187071,-0.0164633630841426,0.324,0.234,1,"LEC__preLEC"
"fam89b",0.000394569774462799,1.00092326132118,0.028,0.011,1,"LEC__preLEC"
"daxx",0.000395203847540993,0.168178145606131,0.121,0.079,1,"LEC__preLEC"
"zgc:113363",0.000395498736282831,0.048394297959427,0.195,0.136,1,"LEC__preLEC"
"metrn",0.000396044559081518,0.45826179494805,0.077,0.045,1,"LEC__preLEC"
"si:dkey-263j23.1.1",0.000396827776688804,0.0822834296760984,0.087,0.052,1,"LEC__preLEC"
"zmynd11",0.000397429655349011,-0.0735284521768635,0.233,0.164,1,"LEC__preLEC"
"sp3a",0.000398213456871804,0.505901030349156,0.035,0.015,1,"LEC__preLEC"
"cdc16",0.000398328171520582,0.198159264095223,0.065,0.036,1,"LEC__preLEC"
"vac14",0.000399196539276643,0.370579413848201,0.058,0.031,1,"LEC__preLEC"
"nfil3",0.000399209284319131,0.134185503633043,0.091,0.055,1,"LEC__preLEC"
"rrp8",0.000401317825954935,0.210377562570689,0.098,0.061,1,"LEC__preLEC"
